fecha,estacion,temperatura,precipitacion,vel_Viento,presion_barometrica,dir_viento,humedad_rel,mes,año,nombre_estacion,dir_cardinal,estacion_año,monoxido_nitrogeno
01/01/2019,24,4.4,0.0,0.69,957.0,22.0,67.0,1,2019,Casa de campo,Norte,Invierno,33.0
01/02/2019,24,6.2,7.0,4.38,922.0,225.0,87.0,2,2019,Casa de campo,Sur,Invierno,1.0
01/03/2019,24,11.1,0.0,1.14,951.0,53.0,53.0,3,2019,Casa de campo,Noreste,Primavera,8.0
01/04/2019,24,12.0,0.0,1.11,942.0,54.0,69.0,4,2019,Casa de campo,Noreste,Primavera,4.0
01/05/2019,24,18.5,0.0,1.33,940.0,267.0,41.0,5,2019,Casa de campo,Suroeste,Primavera,2.0
01/06/2019,24,24.9,0.0,1.52,947.0,14.0,28.0,6,2019,Casa de campo,Norte,Verano,1.0
01/07/2019,24,29.2,0.0,2.11,943.0,175.0,27.0,7,2019,Casa de campo,Sureste,Verano,3.0
01/08/2019,24,26.9,0.0,2.69,941.0,116.0,40.0,8,2019,Casa de campo,Este,Verano,2.0
01/09/2019,24,25.0,0.2,1.27,941.0,47.0,49.0,9,2019,Casa de campo,Noreste,Otoño,4.0
01/10/2019,24,18.6,0.0,1.5,941.0,263.0,45.0,10,2019,Casa de campo,Suroeste,Otoño,10.0
01/11/2019,24,16.4,0.1,2.97,945.0,223.0,88.0,11,2019,Casa de campo,Sur,Otoño,1.0
01/12/2019,24,7.1,30.8,0.95,937.0,14.0,99.0,12,2019,Casa de campo,Norte,Invierno,2.0
02/01/2019,24,4.0,0.0,0.66,955.0,331.0,69.0,1,2019,Casa de campo,Norte,Invierno,32.0
02/02/2019,24,4.4,0.0,3.01,936.0,267.0,58.0,2,2019,Casa de campo,Suroeste,Invierno,1.0
02/03/2019,24,12.3,0.0,1.23,952.0,237.0,50.0,3,2019,Casa de campo,Suroeste,Primavera,4.0
02/04/2019,24,12.0,0.4,1.24,943.0,223.0,66.0,4,2019,Casa de campo,Sur,Primavera,6.0
02/05/2019,24,19.1,0.0,1.24,940.0,39.0,50.0,5,2019,Casa de campo,Norte,Primavera,1.0
02/06/2019,24,26.2,0.0,1.89,945.0,277.0,25.0,6,2019,Casa de campo,Oeste,Verano,1.0
02/07/2019,24,27.8,0.2,1.51,942.0,90.0,34.0,7,2019,Casa de campo,Noreste,Verano,2.0
02/08/2019,24,27.8,0.0,1.6,942.0,253.0,29.0,8,2019,Casa de campo,Suroeste,Verano,1.0
02/09/2019,24,24.5,0.0,1.57,944.0,5.0,49.0,9,2019,Casa de campo,Norte,Otoño,2.0
02/10/2019,24,18.6,0.0,1.48,944.0,14.0,46.0,10,2019,Casa de campo,Norte,Otoño,2.0
02/11/2019,24,15.3,0.0,3.96,937.0,223.0,85.0,11,2019,Casa de campo,Sur,Otoño,1.0
02/12/2019,24,7.8,0.1,2.91,940.0,32.0,72.0,12,2019,Casa de campo,Norte,Invierno,1.0
03/01/2019,24,4.4,0.0,0.71,954.0,115.0,63.0,1,2019,Casa de campo,Este,Invierno,23.0
03/02/2019,24,3.9,0.0,1.14,951.0,223.0,56.0,2,2019,Casa de campo,Sur,Invierno,3.0
03/03/2019,24,10.7,0.0,1.82,950.0,209.0,55.0,3,2019,Casa de campo,Sur,Primavera,4.0
03/04/2019,24,10.4,0.0,2.25,936.0,307.0,49.0,4,2019,Casa de campo,Oeste,Primavera,3.0
03/05/2019,24,16.4,0.0,1.77,939.0,59.0,51.0,5,2019,Casa de campo,Noreste,Primavera,3.0
03/06/2019,24,25.7,0.0,2.23,943.0,344.0,26.0,6,2019,Casa de campo,Norte,Verano,3.0
03/07/2019,24,28.2,0.0,2.92,941.0,106.0,35.0,7,2019,Casa de campo,Este,Verano,1.0
03/08/2019,24,28.1,0.0,1.76,942.0,225.0,26.0,8,2019,Casa de campo,Sur,Verano,1.0
03/09/2019,24,25.5,0.0,1.38,946.0,1.0,39.0,9,2019,Casa de campo,Norte,Otoño,4.0
03/10/2019,24,16.8,0.0,1.14,945.0,246.0,51.0,10,2019,Casa de campo,Suroeste,Otoño,10.0
03/11/2019,24,13.8,0.0,3.97,934.0,223.0,66.0,11,2019,Casa de campo,Sur,Otoño,1.0
03/12/2019,24,6.5,0.0,1.2,940.0,13.0,67.0,12,2019,Casa de campo,Norte,Invierno,2.0
04/01/2019,24,3.7,0.0,0.68,956.0,54.0,69.0,1,2019,Casa de campo,Noreste,Invierno,41.0
04/02/2019,24,3.3,0.0,0.87,955.0,333.0,66.0,2,2019,Casa de campo,Norte,Invierno,22.0
04/03/2019,24,11.2,0.0,3.83,946.0,215.0,69.0,3,2019,Casa de campo,Sur,Primavera,1.0
04/04/2019,24,8.4,0.0,2.06,932.0,237.0,36.0,4,2019,Casa de campo,Suroeste,Primavera,2.0
04/05/2019,24,14.8,0.0,1.29,941.0,337.0,45.0,5,2019,Casa de campo,Norte,Primavera,1.0
04/06/2019,24,22.4,0.0,3.28,938.0,237.0,38.0,6,2019,Casa de campo,Suroeste,Verano,1.0
04/07/2019,24,27.9,0.0,3.0,942.0,116.0,32.0,7,2019,Casa de campo,Este,Verano,1.0
04/08/2019,24,28.5,0.0,2.13,942.0,237.0,23.0,8,2019,Casa de campo,Suroeste,Verano,1.0
04/09/2019,24,25.6,0.0,1.4,945.0,140.0,34.0,9,2019,Casa de campo,Sureste,Otoño,5.0
04/10/2019,24,18.5,0.0,1.28,944.0,237.0,46.0,10,2019,Casa de campo,Suroeste,Otoño,9.0
04/11/2019,24,12.9,1.4,4.63,936.0,213.0,84.0,11,2019,Casa de campo,Sur,Otoño,1.0
04/12/2019,24,8.0,1.6,1.29,935.0,345.0,81.0,12,2019,Casa de campo,Norte,Invierno,1.0
05/01/2019,24,3.0,0.0,0.83,959.0,223.0,71.0,1,2019,Casa de campo,Sur,Invierno,41.0
05/02/2019,24,6.8,0.0,0.91,955.0,213.0,69.0,2,2019,Casa de campo,Sur,Invierno,39.0
05/03/2019,24,11.0,0.0,2.55,944.0,205.0,64.0,3,2019,Casa de campo,Sur,Primavera,1.0
05/04/2019,24,5.8,6.5,2.66,929.0,213.0,83.0,4,2019,Casa de campo,Sur,Primavera,1.0
05/05/2019,24,15.5,0.0,1.57,943.0,62.0,40.0,5,2019,Casa de campo,Noreste,Primavera,1.0
05/06/2019,24,17.0,0.0,2.67,939.0,307.0,39.0,6,2019,Casa de campo,Oeste,Verano,1.0
05/07/2019,24,27.4,0.0,2.58,944.0,249.0,32.0,7,2019,Casa de campo,Suroeste,Verano,1.0
05/08/2019,24,28.2,0.0,1.97,942.0,116.0,26.0,8,2019,Casa de campo,Este,Verano,3.0
05/09/2019,24,21.9,0.0,2.53,946.0,43.0,38.0,9,2019,Casa de campo,Norte,Otoño,1.0
05/10/2019,24,19.5,0.0,1.19,943.0,284.0,52.0,10,2019,Casa de campo,Oeste,Otoño,4.0
05/11/2019,24,9.9,0.4,2.5,937.0,254.0,73.0,11,2019,Casa de campo,Suroeste,Otoño,1.0
05/12/2019,24,9.5,0.0,2.02,941.0,36.0,71.0,12,2019,Casa de campo,Norte,Invierno,1.0
06/01/2019,24,3.7,0.0,0.71,956.0,350.0,66.0,1,2019,Casa de campo,Norte,Invierno,32.0
06/02/2019,24,7.4,0.0,0.99,952.0,209.0,73.0,2,2019,Casa de campo,Sur,Invierno,27.0
06/03/2019,24,10.0,7.3,4.14,936.0,175.0,79.0,3,2019,Casa de campo,Sureste,Primavera,1.0
06/04/2019,24,5.4,1.9,3.39,932.0,223.0,82.0,4,2019,Casa de campo,Sur,Primavera,1.0
06/05/2019,24,16.5,0.0,1.99,944.0,209.0,35.0,5,2019,Casa de campo,Sur,Primavera,5.0
06/06/2019,24,16.9,0.0,3.22,939.0,208.0,33.0,6,2019,Casa de campo,Sur,Verano,2.0
06/07/2019,24,26.5,0.0,2.04,942.0,223.0,27.0,7,2019,Casa de campo,Sur,Verano,2.0
06/08/2019,24,28.1,0.0,2.45,941.0,205.0,23.0,8,2019,Casa de campo,Sur,Verano,3.0
06/09/2019,24,19.0,0.0,1.96,946.0,28.0,35.0,9,2019,Casa de campo,Norte,Otoño,1.0
06/10/2019,24,20.1,0.0,1.22,945.0,116.0,45.0,10,2019,Casa de campo,Este,Otoño,3.0
06/11/2019,24,10.4,0.0,1.95,941.0,223.0,63.0,11,2019,Casa de campo,Sur,Otoño,1.0
06/12/2019,24,9.4,0.0,0.79,947.0,343.0,75.0,12,2019,Casa de campo,Norte,Invierno,5.0
07/01/2019,24,4.3,0.0,0.74,955.0,5.0,54.0,1,2019,Casa de campo,Norte,Invierno,31.0
07/02/2019,24,7.8,0.0,0.9,950.0,106.0,72.0,2,2019,Casa de campo,Este,Invierno,35.0
07/03/2019,24,7.4,0.0,2.41,943.0,213.0,67.0,3,2019,Casa de campo,Sur,Primavera,2.0
07/04/2019,24,7.5,1.5,2.17,939.0,265.0,73.0,4,2019,Casa de campo,Suroeste,Primavera,1.0
07/05/2019,24,16.7,0.0,2.91,943.0,223.0,58.0,5,2019,Casa de campo,Sur,Primavera,1.0
07/06/2019,24,15.9,1.4,2.31,942.0,344.0,47.0,6,2019,Casa de campo,Norte,Verano,1.0
07/07/2019,24,26.7,0.0,1.53,941.0,223.0,27.0,7,2019,Casa de campo,Sur,Verano,1.0
07/08/2019,24,24.7,0.0,2.38,941.0,211.0,42.0,8,2019,Casa de campo,Sur,Verano,1.0
07/09/2019,24,20.8,0.0,1.59,945.0,358.0,37.0,9,2019,Casa de campo,Norte,Otoño,1.0
07/10/2019,24,20.2,0.0,1.06,945.0,223.0,45.0,10,2019,Casa de campo,Sur,Otoño,13.0
07/11/2019,24,9.5,0.2,2.81,937.0,284.0,70.0,11,2019,Casa de campo,Oeste,Otoño,1.0
07/12/2019,24,7.1,0.0,0.68,948.0,116.0,85.0,12,2019,Casa de campo,Este,Invierno,14.0
08/01/2019,24,4.2,0.0,0.68,955.0,284.0,58.0,1,2019,Casa de campo,Oeste,Invierno,34.0
08/02/2019,24,5.8,0.0,1.2,949.0,344.0,73.0,2,2019,Casa de campo,Norte,Invierno,14.0
08/03/2019,24,10.0,0.0,1.02,949.0,31.0,65.0,3,2019,Casa de campo,Norte,Primavera,8.0
08/04/2019,24,10.6,2.1,2.23,941.0,223.0,77.0,4,2019,Casa de campo,Sur,Primavera,1.0
08/05/2019,24,15.6,0.0,5.33,940.0,213.0,72.0,5,2019,Casa de campo,Sur,Primavera,1.0
08/06/2019,24,19.9,0.0,2.2,946.0,205.0,30.0,6,2019,Casa de campo,Sur,Verano,1.0
08/07/2019,24,24.2,0.8,2.32,940.0,205.0,37.0,7,2019,Casa de campo,Sur,Verano,2.0
